titulos,anos,nota
Guardiões da Galáxia Vol. 3,(2023),8.3
Velozes e Furiosos 10,(2023),8.3
A Mãe,(2023),8.3
Air: A História Por Trás do Logo,(2023),8.3
Super Mario Bros. - O Filme,(2023),8.3
Dungeons & Dragons: Honra Entre Rebeldes,(2023),8.3
A Morte do Demônio: A Ascensão,(2023),8.3
Guy Ritchie's the Covenant,(2023),8.3
Assassinos da Lua das Flores,(2023),8.3
Sisu,(2022),8.3
Five Nights at Freddy's,(2023),8.3
A Pequena Sereia,(2023),8.3
Homem-Formiga e a Vespa: Quantumania,(2023),8.3
Missão: Impossível - Acerto de Contas - Parte 1,(2023),8.3
O Pior Vizinho do Mundo,(2022),8.3
Jeanne du Barry,(2023),8.3
Indiana Jones e a Relíquia do Destino,(2023),8.3
Poor Things,(2023),8.3
Sede Assassina,(2023),8.3
John Wick 4: Baba Yaga,(2023),8.3
Resistência,(2023),8.3
Mansão Mal-Assombrada,(2023),8.3
Homens Brancos Não Sabem Enterrar,(2023),8.3
O Exorcista do Papa,(2023),8.3
Oppenheimer,(2023),8.3
Hypnotic,(2023),8.3
Pânico VI,(2023),8.3
Guardiões da Galáxia,(2014),8.3
The Flash,(2023),8.3
Beau Tem Medo,(2023),8.3
Renfield - Dando o Sangue Pelo Chefe,(2023),8.3
Peter Pan e Wendy,(2023),8.3
Ghosted: Sem Resposta,(2023),8.3
Homem-Aranha: Através do Aranhaverso,(2023),8.3
La historia de Kerala,(2023),8.3
Os Fantasmas se Divertem 2,(2024),8.3
Velozes & Furiosos 9,(2021),8.3
A Cratera,(2023),8.3
BlackBerry,(2023),8.3
Guardiões da Galáxia Vol. 2,(2017),8.3
Avatar: O Caminho da Água,(2022),8.3
Transformers: O Despertar das Feras,(2023),8.3
Dead Shot,(2023),8.3
X: A Marca da Morte,(2022),8.3
Duna: Parte Dois,(2023),8.3
Do Jeito Que Elas Querem - O Próximo Capítulo,(2023),8.3
Fogo Contra Fogo,(1995),8.3
Uma Mãe Contra um País,(2023),8.3
Still: Ainda Sou Michael J. Fox,(2023),8.3
Fool's Paradise,(2023),8.3
Polite Society,(2023),8.3
Faithfully Yours,(2022),8.3
O Urso do Pó Branco,(2023),8.3
"Are You There God? It's Me, Margaret.",(2023),8.3
Agente Infiltrado,(2023),8.3
Tudo em Todo o Lugar ao Mesmo Tempo,(2022),8.3
Calígula,(1979),8.3
Top Gun: Maverick,(2022),8.3
O Amor Mandou Mensagem,(2023),8.3
Megatubarão 2,(2023),8.3
Duna,(2021),8.3
Trem-Bala,(2022),8.3
Barbie,(2023),8.3
Velozes & Furiosos,(2001),8.3
Nefarious,(2023),8.3
Um Sonho de Liberdade,(1994),8.3
Esquema de Risco - Operação Fortune,(2023),8.3
O Menu,(2022),8.3
Os Cavaleiros do Zodíaco - Saint Seiya: O Começo,(2023),8.3
Onde Está Megan?,(2011),8.3
Asteroid City,(2023),8.3
Os Fabelmans,(2022),8.3
Do Jeito que Elas Querem,(2018),8.3
Belo Desastre,(2023),8.3
Triângulo da Tristeza,(2022),8.3
O Poderoso Chefão,(1972),8.3
Que Horas Eu Te Pego?,(2023),8.3
A Baleia,(2022),8.3
Shazam! Fúria dos Deuses,(2023),8.3
Babilônia,(2022),8.3
Flamin' Hot: O Sabor que Mudou a História,(2023),8.3
Interestelar,(2014),8.3
George Foreman: Sua História,(2023),8.3
A Morte do Demônio,(2013),8.3
Reality,(2023),8.3
O Esquadrão Suicida,(2021),8.3
Batem à Porta,(2023),8.3
A Queda,(2022),8.3
Love,(2015),8.3
Viva o México!,(2023),8.3
65 - Ameaça Pré-Histórica,(2023),8.3
Soft & Quiet,(2022),8.3
Uma Noite Infernal,(2019),8.3
Tetris,(2023),8.3
Harry Potter e a Pedra Filosofal,(2001),8.3
Batman,(2022),8.3
A Escolha Perfeita,(2012),8.3
The Machine,(2023),8.3
The Last Kingdom: Seven Kings Must Die,(2023),8.3
Midsommar: O Mal Não Espera a Noite,(2019),8.3
